,FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,med_income,crime_ct,log_reviews,log_business_ct,log_pop,log_crimes
265,503100,2996.0,73000.0,-0.595337,4571,4.103846153846154,0.2565702097580528,26,38884,119.0,8.427487278331744,3.258096538021482,8.005033344637111,4.77912349311153
267,577500,3591.0,86200.0,-0.047003,3838,4.247727272727273,0.2988369561882831,44,62417,,8.252706676567644,3.784189633918261,8.186185994226083,
268,551400,4431.0,102100.0,0.232376,12138,4.0508771929824565,0.20663576559836908,57,50224,,9.4040963063958,4.04305126783455,8.39638057119949,
270,502600,3321.0,,,1639,4.135,0.25226764286221515,20,19891,90.0,7.40184157874383,2.995732273553991,8.108021221376747,4.499809670330265
271,552100,5760.0,62400.0,-0.837378,2554,4.451612903225806,0.31855364217361165,31,30735,,7.845416036592485,3.4339872044851463,8.658692753689937,
277,506500,1963.0,72700.0,-0.898234,569,4.154545454545455,0.21036093832245537,11,39141,42.0,6.343880434126331,2.3978952727983707,7.5822291942764615,3.7376696182833684
279,546100,3952.0,60700.0,-0.667223,2054,4.194117647058824,0.333557339361898,17,26667,80.0,7.627544390488503,2.833213344056216,8.281977058867758,4.382026634673881
280,542100,4547.0,87600.0,-0.494808,5702,4.153846153846154,0.2587401631819629,26,32154,73.0,8.648572269472618,3.258096538021482,8.42222295382501,4.290459441148391
281,539000,2769.0,70300.0,-0.65379,3663,4.12,0.28227234424220515,30,34519,52.0,8.206037762778815,3.4011973816621555,7.926241523170962,3.9512437185814275
282,508000,1098.0,24000.0,-1.488508,21811,3.9431372549019605,0.22456067644747488,51,20259,29.0,9.990169708671852,3.9318256327243257,7.001245622069476,3.367295829986474
285,576100,6260.0,105100.0,-0.022002,15598,4.298484848484848,0.3215625762443549,66,59102,,9.654897979890443,4.189654742026425,8.741935464094144,
286,506600,2713.0,62200.0,-1.173951,1911,4.172222222222222,0.17632809746603711,18,33097,74.0,7.555381944240273,2.8903717578961645,7.905810312658931,4.30406509320417
287,583800,4540.0,132500.0,0.137917,10320,4.08918918918919,0.24070151727223524,37,83347,,9.241839039035554,3.6109179126442243,8.420682291035394,
291,522800,1186.0,,,2337,4.294444444444444,0.2691194592524695,18,58750,38.0,7.756623334538858,2.8903717578961645,7.078341579557671,3.6375861597263857
292,534300,1087.0,52300.0,-1.325924,2759,4.061904761904762,0.22282063703704427,21,36742,41.0,7.922623574217286,3.044522437723423,6.99117688712121,3.713572066704308
294,571800,3640.0,122500.0,0.235965,10161,4.2325,0.3053451244154278,40,52396,,9.22631214148588,3.6888794541139363,8.199738960630786,
295,501500,4056.0,85200.0,-0.398292,1844,4.111764705882353,0.17816386586251726,17,37885,134.0,7.519692404116539,2.833213344056216,8.30795254527102,4.897839799950911
297,583400,4987.0,92300.0,-0.10463,12791,4.298148148148148,0.32187118702932027,54,75527,,9.456497077599392,3.9889840465642745,8.514589805546123,
300,573300,4463.0,113600.0,-0.366048,8061,4.283333333333333,0.296050405502481,48,56217,,8.9947928972836,3.871201010907891,8.40357646462927,
301,541400,2642.0,81600.0,-0.307586,4483,3.913333333333333,0.19699212496756838,30,41533,49.0,8.40804774415544,3.4011973816621555,7.879291485082271,3.8918202981106265
302,572600,5439.0,91200.0,-0.077163,8504,4.054545454545455,0.2686321905513949,33,58667,,9.048291920021784,3.4965075614664802,8.60135049942296,
